Home Team,Away Team,Home Margin of Victory (MOV)
Arkansas St.,North Dakota St.,-6.1
Columbia,St. Joseph's PA,4.3
Duquesne,Pittsburgh,-5.5
Fairfield,Rider,3.5
Florida International,Elon,3.5
Louisiana Tech,Jackson St.,12.0
Maryland,St. Francis-PA,14.1
Missouri,Northern Illinois,-14.0
Niagara,Quinnipiac,-5.8
Old Dominion,Delaware St.,18.4
Pacific,UC Irvine,-3.4
Seattle,Cal St. Fullerton,-9.8
Siena,Manhattan,3.7
Southeastern Louisiana,Southern,-12.7
UNLV,Oregon,1.2
Wake Forest,Arkansas,0.7
Wright St.,Georgia St.,3.0
Youngstown St.,American,14.5

2015-12-04
